sport,home_team,away_team,network,viewership_millions,season,is_estimate,source,notes,is_rivalry,is_ranked_matchup,is_prime_time,conference
womens_basketball,South Carolina,Texas,ESPN,1.02,2025,0,The Boneyard,Feb 9,0,1,1,SEC
womens_basketball,UCLA,Maryland,NBC,1.0,2025,0,The Boneyard,Jan 26,0,1,0,Big Ten
womens_basketball,UConn,Notre Dame,ESPN,0.847,2024,0,The Boneyard,Dec 12,0,1,0,Big East
womens_basketball,LSU,South Carolina,ESPN,0.841,2025,0,The Boneyard,Jan 24,0,1,1,SEC
womens_basketball,UConn,Tennessee,ESPN,0.831,2025,0,The Boneyard,Feb 6,0,1,1,SEC
softball,Alabama,Auburn,ESPN,0.57,2024,0,ESPN Press Room,Marquee SEC rivalry,1,1,1,SEC
football,Michigan,Washington,NBC,4.04,2024,0,Football Scoop,,0,1,0,Unknown
football,Utah,Colorado,FOX,4.0,2024,0,Football Scoop,,0,1,0,Unknown
mens_basketball,Michigan State,Arizona,FOX,5.0,2024,0,Sports Media Watch,Thanksgiving FOX after NFL,0,1,0,Unknown
womens_basketball,UConn,South Carolina,ABC,1.8,2025,0,Yahoo Sports,Feb 16 ABC doubleheader,0,1,0,Unknown
womens_basketball,Texas,LSU,ABC,1.7,2025,0,Yahoo Sports,Feb 16 ABC doubleheader,0,1,0,Unknown
womens_basketball,USC,UConn,FOX,2.3,2025,0,Philadelphia Inquirer,Top regular season game,0,1,0,Unknown
womens_basketball,Iowa,Ohio State,FOX,3.4,2024,0,Sports Media Watch,Clark record game,0,1,0,Unknown
womens_basketball,Maryland,Iowa,FOX,1.58,2024,0,Sports Media Watch,Feb 2024,0,1,0,Unknown
womens_basketball,Tennessee,LSU,ESPN,0.825,2025,0,The Boneyard,Feb 9,0,1,0,Unknown
softball,Alabama,Florida,ESPN,0.42,2024,1,Estimated,SEC marquee,0,1,0,Unknown
softball,Arkansas,Alabama,ESPN,0.57,2024,0,ESPN Press Room,Apr 20 SEC series,0,1,0,SEC
softball,Texas,Georgia,ESPN,0.725,2026,0,ESPN Press Room,Apr 19 regular season,0,1,0,SEC
softball,Florida,Georgia,ESPN,0.677,2026,0,ESPN Press Room,May 2 regular season,0,1,0,SEC
softball,Oklahoma,LSU,ESPN,0.618,2026,0,ESPN Press Room,Mar 29 regular season,0,1,0,SEC
softball,Texas,Alabama,ESPN,0.42,2024,1,Estimated,SEC regular season tier,0,1,0,SEC
softball,Oklahoma,Florida State,ESPN,0.35,2024,1,Estimated,Regular season marquee,0,1,0,Big 12
baseball,LSU,Vanderbilt,SEC Network,0.08,2024,1,Estimated,SEC weekend series,0,1,0,SEC
baseball,Tennessee,Florida,ESPNU,0.12,2024,1,Estimated,SEC marquee cable,0,1,0,SEC
baseball,Clemson,South Carolina,ESPNU,0.09,2024,1,Estimated,ACC rivalry,0,1,0,ACC
baseball,Oregon State,Stanford,ESPNU,0.11,2024,1,Estimated,Pac/ACC tier regular season,0,1,0,Pac-12
baseball,Texas,Texas A&M,ESPNU,0.14,2024,1,Estimated,SEC rivalry regular season,0,1,0,SEC
softball,Oklahoma,Texas,ESPN,0.7,2026,0,ESPN Press Room,Apr 11 regular season,0,1,0,Big 12
softball,LSU,Alabama,SEC Network,0.22,2024,1,Estimated,SEC regular season cable,0,1,0,SEC
softball,Tennessee,Florida,ESPN,0.28,2024,1,Estimated,SEC regular season,0,1,0,SEC
softball,Alabama,Ole Miss,ESPNU,0.15,2024,1,Estimated,SEC regular season cable,0,1,0,SEC
softball,Florida,Florida State,ESPN2,0.24,2024,1,Estimated,In-state regular season,0,1,0,ACC
softball,South Carolina,Clemson,SEC Network,0.19,2024,1,Estimated,SEC regular season,0,1,0,SEC
softball,Texas,Oklahoma State,ESPN,0.31,2025,1,Estimated,Big 12 regular season,0,1,0,Big 12
softball,Auburn,Tennessee,ESPN2,0.21,2024,1,Estimated,SEC regular season,0,1,0,SEC
softball,Georgia,Tennessee,ESPN,0.27,2025,1,Estimated,SEC regular season,0,1,0,SEC
softball,LSU,Mississippi State,SEC Network,0.2,2024,1,Estimated,SEC regular season,0,1,0,SEC
softball,Stanford,UCLA,ESPNU,0.16,2024,1,Estimated,Pac/ACC regular season,0,1,0,Pac-12
softball,Washington,Oregon,ESPN2,0.17,2024,1,Estimated,Pac regular season,0,1,0,Pac-12
softball,Florida,LSU,ESPNU,0.18,2024,1,Estimated,SEC regular season,0,1,0,SEC
softball,Texas A&M,Missouri,SEC Network,0.17,2024,1,Estimated,SEC regular season,0,1,0,SEC
softball,UCLA,Oregon,ESPN2,0.14,2024,1,Estimated,Pac regular season,0,1,0,Pac-12
softball,Nebraska,Oklahoma,ESPN,0.26,2025,1,Estimated,Big Ten/Big 12 crossover,0,1,0,Big Ten
softball,Alabama,LSU,ESPN,0.35,2024,1,Estimated,SEC marquee regular season,0,1,0,SEC
softball,Oklahoma,UCLA,ESPN,0.29,2024,1,Estimated,Top-25 regular season,0,1,0,Big 12
softball,Kentucky,Tennessee,SEC Network,0.16,2024,1,Estimated,SEC regular season rivalry,1,1,0,SEC
baseball,Texas A&M,LSU,ESPN,0.382,2026,0,Sports Business Journal,Apr 17 regular season,0,1,0,SEC
baseball,LSU,Arkansas,ESPN2,0.28,2024,1,ESPN Press Room,Mar 28 primetime regular season,0,1,0,SEC
baseball,Florida,LSU,SEC Network,0.18,2024,1,Estimated,SEC weekend series,0,1,0,SEC
baseball,Florida,Vanderbilt,ESPN2,0.22,2024,1,ESPN Press Room,Apr 19 regular season,0,1,0,SEC
baseball,Mississippi State,Ole Miss,ESPN2,0.2,2024,1,ESPN Press Room,Apr 13 regular season rivalry,1,1,0,SEC
baseball,Vanderbilt,LSU,ESPN2,0.25,2024,1,ESPN Press Room,Apr 4 regular season,0,1,0,SEC
baseball,Tennessee,Vanderbilt,ESPN2,0.21,2024,1,ESPN Press Room,May 12 regular season,0,1,0,SEC
baseball,Florida State,Florida,ESPN2,0.23,2024,1,ESPN Press Room,Apr 9 regular season,0,1,0,ACC
baseball,Wake Forest,Clemson,ESPNU,0.13,2024,1,Estimated,ACC regular season,0,1,0,ACC
baseball,Oregon State,Oregon,ESPN2,0.19,2024,1,ESPN Press Room,Apr 27 regular season,0,1,0,Pac-12
baseball,North Carolina,Duke,ACC Network,0.09,2024,1,Estimated,ACC rivalry regular season,1,1,0,ACC
baseball,Miami,Florida State,ACC Network,0.1,2024,1,Estimated,ACC regular season,0,1,0,ACC
baseball,Louisville,Vanderbilt,ESPN2,0.17,2024,1,ESPN Press Room,May 7 regular season,0,1,0,SEC
baseball,Alabama,Auburn,SEC Network,0.16,2024,1,Estimated,SEC rivalry regular season,1,1,0,SEC
baseball,Georgia,Georgia Tech,ACC Network,0.11,2024,1,Estimated,In-state regular season,0,1,0,ACC
baseball,Mississippi State,LSU,SEC Network,0.17,2024,1,Estimated,SEC regular season,0,1,0,SEC
baseball,Texas,Stanford,ESPNU,0.11,2024,1,Estimated,Non-con regular season,0,1,0,SEC
baseball,Arkansas,Ole Miss,SEC Network,0.15,2024,1,Estimated,SEC regular season,0,1,0,SEC
baseball,Kentucky,Louisville,ESPN2,0.14,2024,1,Estimated,Rivalry regular season,1,1,0,SEC
baseball,Coastal Carolina,South Carolina,ESPNU,0.1,2024,1,Estimated,Non-con regular season,0,1,0,Sun Belt
baseball,East Carolina,NC State,ESPNU,0.11,2024,1,Estimated,Non-con regular season,0,1,0,AAC
baseball,Cal State Fullerton,LSU,ESPNU,0.12,2024,1,Estimated,Non-con regular season,0,1,0,SEC
